plate,mjd,fiber,version,url
2060,53706,600,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2060/spec-2060-53706-0600.fits
3284,54907,31,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3284/spec-3284-54907-0031.fits
4631,55617,942,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4631/spec-4631-55617-0942.fits
7724,58434,557,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7724/spec-7724-58434-0557.fits
7746,58074,843,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7746/spec-7746-58074-0843.fits
323,51615,72,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/323/spec-323-51615-0072.fits
2098,53460,156,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2098/spec-2098-53460-0156.fits
2728,54416,543,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2728/spec-2728-54416-0543.fits
777,52320,210,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/777/spec-777-52320-0210.fits
3216,54908,533,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3216/spec-3216-54908-0533.fits
3223,54865,458,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3223/spec-3223-54865-0458.fits
3292,54943,96,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3292/spec-3292-54943-0096.fits
1912,53293,466,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1912/spec-1912-53293-0466.fits
2928,54614,137,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2928/spec-2928-54614-0137.fits
3249,54880,425,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3249/spec-3249-54880-0425.fits
5457,55976,944,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5457/spec-5457-55976-0944.fits
9154,58013,973,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/9154/spec-9154-58013-0973.fits
4724,55742,390,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4724/spec-4724-55742-0390.fits
7830,57043,229,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7830/spec-7830-57043-0229.fits
